案号,案由,诉请标的额,判决标的额,标的支持率,是否胜诉,受理法院,所在省份,审理天数,被告是否缺席,是否明确论述腾讯电子签效力,原告有无代理,法院有无公告送达,source_file,文书标题,raw_标的片段
（2026）苏05民辖终102号,点击了解更多,,,,无法判断,江苏省苏州市中级人民法院,江苏,,无法判断,否,无法判断,否,doc_a0f857ddb77c0b4f18632de8.html,吴某;尹某民间借贷纠纷管辖上诉管辖裁定书,
（2025）黔01民终10852号,买卖合同纠纷,1400,1030,0.74,败诉,贵州省贵阳市中级人民法院,贵州,,无法判断,否,律师,否,doc_a1134533fd97c0e0a0ee81ed.html,王某;刘某;廖某买卖合同纠纷二审民事判决书,诉讼请求；3.依法判令本案一、二审诉讼费用由被上诉人全额承担，并判令被上诉人立即返还上诉人购车定金1400元及协议“违约金”9870元，合计11270元。事实与理由：一、案涉车辆非法改装未备案，不符合合法交易及使用条件。案涉车辆实际外观与行驶证登记信息严重不符，未在车辆管理部门办理变更备案，致使车辆无法合法过户、年检及上路；二、被上诉人未履行核心合同义务，上诉人行使先履行抗辩权合法，无需支付尾款及…
（2023）琼民终400号,著作权权属、侵权纠纷,5377526.9,5415.71,0.00,败诉,海南省高级人民法院,海南,,是,是,无法判断,否,doc_a6692f79fc037149f6caa224.html,中利某公司、李某等著作权权属、侵权纠纷民事二审民事判决书,"诉讼请求：1.星比特公司、中利华夏公司立即停止侵权使用李建英享有著作权的《敦煌神韵·李建英作品集》中的6幅作品《说法图》《反弹琵琶》《飞天》《双菩萨》《思维菩萨》《敦煌菩萨》（以下简称涉案6幅画作）；2.星比特公司、中利华夏公司赔偿李建英因侵权造成的实际经济损失5377526.9元；3.本案诉讼费、律师费、调查取证费等合理费用由星比特公司、中利华夏公司承担。
一审法院认定事实：（一）关于李建英主张…"
（2025）鄂01民终17577号,民间借贷纠纷,840,4300,5.12,败诉,湖北省武汉市中级人民法院,湖北,,无法判断,否,无法判断,否,doc_aced302d9c11a4ef6fd86c8d.html,宋某;胡某;王某民间借贷纠纷二审民事判决书,"诉讼请求：1.判令王某、宋某向胡某甲偿还借款本金21万元；2.判令王某、宋某向胡某甲支付逾期利息840元（按照当时一年期贷款市场报价利率的标准，自2024年6月1日起计算至实际清偿之日止，暂计算至2024年6月12日为840元）；3.判令王某、宋某支付胡某甲为维护自身合法权益支出的费用3000元；4.判令本案诉讼费、保全费均由王某、宋某承担。
一审法院认定事实：2024年1月2日、2024年1月1…"
（2025）鲁15民初102号,侵害外观设计专利权纠纷,14.4,2000,138.89,部分胜诉,山东省聊城市中级人民法院,山东,,是,否,律师,否,doc_b4909e25e3c173d2d95371fe.html,武义某有限公司;聊城某乙有限公司侵害外观设计专利权纠纷一审民事判决书,诉讼请求：1.判令被告停止制造、销售、许诺销售ZL202230742315.9号专利的侵权产品，销毁库存侵权产品以及用以制造侵权产品的模具；2.判令被告赔偿原告经济损失及维权费用共计人民币2万元；3.判令被告承担本案的诉讼费用。庭审中，原告放弃其诉讼请求第1项关于要求被告停止相关侵权行为的主张，并变更其诉讼请求为：要求判令被告赔偿原告经济损失以及维权费用2万元（要求适用法定赔偿），本案诉讼费及公告…
（2025）粤01民特2613号,申请确认仲裁协议效力,16800,,,无法判断,广东省广州市中级人民法院,广东,,无法判断,否,无法判断,否,doc_b9acd4c682fd8608b6b22471.html,张某;广州某有限公司申请确认仲裁协议效力特殊程序：其他民事特殊程序民事裁定书,
（2025）皖15民终4718号,民间借贷纠纷,90000,90000,1.00,败诉,安徽省六安市中级人民法院,安徽,,是,否,律师,否,doc_d5aa04a8cadbd4ff31fd5b28.html,陈某;刘某民间借贷纠纷二审民事判决书,诉讼请求；2.本案一、二审诉讼费用由刘某承担。事实和理由：一、原审判决认定双方民间借贷关系成立，属事实认定错误，案涉借贷关系尚未成立。1、案涉《个人借条》明确约定支付方式为微信转账，此系双方真实意思表示。根据《中华人民共和国民法典》第六百七十九条“自然人之间的借款合同，自贷款人提供借款时成立”及《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条“自然人之间的借款合同具有下列情形之一的…
（2024）鄂民申8532号,追偿权纠纷,,5250.01,,无法判断,湖北省高级人民法院,湖北,,无法判断,否,无法判断,否,doc_e50091f258dc5fdb8f957c2d.html,王某波与某某置诚科技合伙企业追偿权纠纷再审审查民事裁定书,
（2025）琼01执1151号之一,国内非涉外仲裁裁决,,,,无法判断,海南省海口市中级人民法院,海南,,无法判断,否,无法判断,否,doc_e6573a011a75ae9b8b371f31.html,羊某;林某国内非涉外仲裁裁决执行实施执行裁定书,
（2025）鲁13民终10335号,民间借贷纠纷,55000,1176,0.02,败诉,山东省临沂市中级人民法院,山东,,是,否,无,否,doc_fb5a021b3f62d4fcc611897b.html,张某;刘某民间借贷纠纷二审民事判决书,"诉讼请求，一审法院依法予以支持。双方并未约定借款利息，应视为没有利息。双方约定逾期年利率为10%，不超过法律规定，因此对于原告张某主张的逾期利息，一审法院依法支持以借款本金55000元为基数，自借款逾期之日（即2025年7月29日）起至实际付清之日止，按照年利率10%计算。被告刘某经一审法院合法传唤无正当理由未到庭参加诉讼,视为自行放弃一审中答辩、举证、质证等诉讼权利，应承担对自己不利的法律后果，…"
